School,MonthCode,CalMonth,GradeLevel,GradeSort,RosterCount,Absent,Present,Released
01M110,2,Oct,1,1,54,37,881,0
01M110,2,Oct,2,2,50,27,823,0
01M110,2,Oct,3,3,59,25,978,0
01M110,2,Oct,4,4,77,44,1261,0
01M110,2,Oct,5,5,50,17,833,0
01M110,2,Oct,0K,0,62,39,1003,0
01M110,2,Oct,PK,-1,32,37,507,0
01M110,3,Nov,1,1,54,39,923,0
01M110,3,Nov,2,2,50,33,864,0
01M110,3,Nov,3,3,60,45,1030,0
01M110,3,Nov,4,4,76,52,1316,0
01M110,3,Nov,5,5,50,31,869,0
01M110,3,Nov,0K,0,63,71,1058,0
01M110,3,Nov,PK,-1,32,33,533,0
01M110,4,Dec,1,1,54,47,852,0
01M110,4,Dec,2,2,49,49,784,0
01M110,4,Dec,3,3,60,50,970,0
01M110,4,Dec,4,4,76,54,1238,0
01M110,4,Dec,5,5,51,36,800,0
01M110,4,Dec,0K,0,63,95,976,0
01M110,4,Dec,PK,-1,31,72,424,31
01M134,5,Jan,1,1,61,96,1062,0
01M134,5,Jan,2,2,54,63,1005,0
01M134,5,Jan,3,3,61,122,1098,0
01M134,5,Jan,4,4,59,86,1069,0
01M134,5,Jan,5,5,76,92,1420,0
01M134,5,Jan,0K,0,26,33,476,0
01M134,5,Jan,PK,-1,27,70,414,27
01M134,6,Feb,1,1,60,75,753,0
01M134,6,Feb,2,2,56,31,730,0
01M134,6,Feb,3,3,62,87,767,0
01M134,6,Feb,4,4,57,58,732,0
01M134,6,Feb,5,5,77,56,1008,0
01M134,6,Feb,0K,0,26,26,337,0
01M134,6,Feb,PK,-1,27,49,329,0
01M134,7,Mar,1,1,59,111,1168,0
01M134,7,Mar,2,2,55,81,1129,0
01M134,7,Mar,3,3,60,123,1180,0
01M134,7,Mar,4,4,56,116,1116,0
01M134,7,Mar,5,5,77,83,1570,0
01M134,7,Mar,0K,0,27,42,549,0
01M134,7,Mar,PK,-1,27,88,486,0
01M134,8,Apr,1,1,58,62,683,0
01M134,8,Apr,2,2,55,31,684,0
01M134,8,Apr,3,3,59,69,691,0
01M134,8,Apr,4,4,56,66,662,0
01M134,8,Apr,5,5,75,45,930,0
01M134,8,Apr,0K,0,27,30,313,0
01M134,8,Apr,PK,-1,27,61,290,0
01M134,9,May,1,1,60,98,1154,0
01M134,9,May,2,2,56,94,1114,0
01M134,9,May,3,3,60,134,1181,0
01M134,9,May,4,4,57,80,1159,0
01M134,9,May,5,5,75,98,1552,0
01M134,9,May,0K,0,26,51,521,0
01M134,9,May,PK,-1,27,109,485,0
01M134,10,Jun,1,1,58,143,828,0
01M134,10,Jun,2,2,54,101,817,0
01M134,10,Jun,3,3,60,193,827,0
01M134,10,Jun,4,4,57,132,820,0
01M134,10,Jun,5,5,75,129,1118,0
01M134,10,Jun,0K,0,27,84,365,0
01M134,10,Jun,PK,-1,27,126,333,0
01M134,1,Sep,1,1,57,67,792,0
01M134,1,Sep,2,2,56,33,788,0
01M134,1,Sep,3,3,62,67,867,0
01M134,1,Sep,4,4,61,59,885,0
01M134,1,Sep,5,5,77,50,1150,0
01M134,1,Sep,0K,0,33,37,439,0
01M134,1,Sep,PK,-1,28,22,323,0
01M134,2,Oct,1,1,58,59,890,0
01M134,2,Oct,2,2,54,57,814,0
01M134,2,Oct,3,3,62,73,939,0
01M134,2,Oct,4,4,60,57,948,0
01M134,2,Oct,5,5,75,66,1206,0
01M134,2,Oct,0K,0,29,46,447,0
01M134,2,Oct,PK,-1,22,43,316,0
01M134,3,Nov,1,1,58,118,926,0
01M134,3,Nov,2,2,53,69,862,0
01M134,3,Nov,3,3,65,127,985,5
01M134,3,Nov,4,4,60,76,997,0
01M134,3,Nov,5,5,76,75,1266,0
01M134,3,Nov,0K,0,29,59,463,0
01M134,3,Nov,PK,-1,24,66,345,0
01M134,4,Dec,1,1,59,120,871,0
01M134,4,Dec,2,2,54,95,794,0
01M134,4,Dec,3,3,63,119,906,0
01M134,4,Dec,4,4,60,83,922,0
01M134,4,Dec,5,5,75,101,1174,0
01M134,4,Dec,0K,0,29,65,395,0
01M134,4,Dec,PK,-1,24,60,348,0
01M140,5,Jan,1,1,30,67,507,0
01M140,5,Jan,2,2,27,57,469,0
01M140,5,Jan,3,3,30,45,533,0
01M140,5,Jan,4,4,33,42,605,0
01M140,5,Jan,5,5,34,54,626,0
01M140,5,Jan,6,6,67,115,1206,0
01M140,5,Jan,7,7,67,91,1227,0
01M140,5,Jan,8,8,59,63,1089,0
01M140,5,Jan,0K,0,38,84,628,0
